Question ID,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Concept,Difficulty,Discrimination,Guessing Probability
29,"Consider the function f defined below.&nbsp;
        C++
        
        #include &lt;iostream&gt;

struct item {
    int data;
    struct item *next;
};

int f(struct item *p) {
    return (
        (p == NULL) || 
        (p-&gt;next == NULL) || 
        ((p-&gt;data &lt;= p-&gt;next-&gt;data) &amp;&amp; f(p-&gt;next))
    );
}

        
    
        c
        
        struct item 
{ 
  int data; 
  struct item * next; 
}; 

int f(struct item *p) 
{ 
  return (
          (p == NULL) || 
          (p-&gt;next == NULL) || 
          (( p-&gt;data &lt;= p-&gt;next-&gt;data) &amp;&amp; f(p-&gt;next))
         ); 
} 

        
    
        Java
        
        class Item {
    int data;
    Item next;

    Item(int data) {
        this.data = data;
        this.next = null;
    }
}

public class Main {
    public static boolean f(Item p) {
        return (
            (p == null) || 
            (p.next == null) || 
            ((p.data &lt;= p.next.data) &amp;&amp; f(p.next))
        );
    }
}

        
    
        Python
        
        class Item:
    def __init__(self, data):
        self.data = data
        self.next = None


def f(p):
    return (
        p is None or 
        p.next is None or 
        (p.data &lt;= p.next.data and f(p.next))
    )

        
    
        JavaScript
        
        class Item {
    constructor(data) {
        this.data = data;
        this.next = null;
    }
}

function f(p) {
    return (
        p === null || 
        p.next === null || 
        (p.data &lt;= p.next.data &amp;&amp; f(p.next))
    );
}

        
    For a given linked list p, the function f returns 1 if and only if (GATE CS 2003)",not all elements in the list have the same data value.,the elements in the list are sorted in non-decreasing order of data value,the elements in the list are sorted in non-increasing order of data value,None of them,B,"The function checks if the current element is less than or equal to the next element, and recursively applies the same check to the next element. If the end of the list is reached (i.e., p-&gt;next is NULL), or the next element is less than the current element, the function returns 1. Otherwise, it returns 0. Therefore, the function returns 1 only if the linked list is sorted in non-decreasing order.",Linked List,Medium,High,0.25
30,A circularly linked list is used to represent a Queue. A single variable p is used to access the Queue. To which node should p point such that both the operations enQueue and deQueue can be performed in constant time? (GATE 2004)&nbsp;,rear node,front node,not possible with a single pointer,node next to front,A,"Answer is not ""(b) front node"", as we can not get rear from front in O(1), but if p is rear we can implement both enQueue and deQueue in O(1) because from rear we can get front in O(1). Below are sample functions. Note that these functions are just sample are not working. Code to handle base cases is missing.&nbsp;
        C
        
        /* p is pointer to address of rear (double pointer).  This function adds new 
   node after rear and updates rear which is *p to point to new node  */
void  enQueue(struct node **p, struct node *new_node)
{
    /* Missing code to handle base cases like *p is NULL */
     
     new_node-&gt;next = (*p)-&gt;next;
     (*p)-&gt;next = new_node;
     (*p) = new_node /* new is now rear */
     /* Note that p-&gt;next is again front and  p is rear */

 }

/* p is pointer to rear. This function removes the front element and 
    returns the dequeued element from the queue */
struct node *deQueue(struct node *p)
{
    /* Missing code to handle base cases like p is NULL,
        p-&gt;next is NULL,...  etc */

    struct node *temp = p-&gt;next;
    p-&gt;next = p-&gt;next-&gt;next;
    return temp;
    /* Note that p-&gt;next is again front and  p is rear */
}

        
    &nbsp;",Linked List,Hard,High,0.25
31,"What are the time complexities of finding 8th element from beginning and 8th element from end in a singly linked list? Let n be the number of nodes in linked list, you may assume that n &gt; 8.",O(1) and O(n),O(1) and O(1),O(n) and O(1),O(n) and O(n),A,"Finding the 8th element from the beginning of a singly linked list requires traversing the first 8 nodes of the list, which takes O(8) time, or simply O(1) time since it's a constant time operation.Finding the 8th element from the end of a singly linked list requires traversing the list until we reach the 8th node from the end. One way to do this is to first traverse the list once to determine its length, and then traverse the list again until we reach the node at position n-8. This takes O(n) time for the first traversal, and then O(n-8) time for the second traversal. Therefore, the time complexity of finding the 8th element from the end of a singly linked list is O(n).",Linked List,Medium,High,0.25
32,Is it possible to create a doubly linked list using only one pointer with every node.,Not Possible,"Yes, possible by storing XOR of addresses of previous and next nodes.","Yes, possible by storing XOR of current node and next node","Yes, possible by storing XOR of current node and previous node",B,"Yes, it is possible to implement a doubly linked list using a single pointer per node, by storing the XOR of the addresses of the previous and next nodes.",Linked List,Hard,High,0.25
33,"Given pointer to a node X in a singly linked list. Only one pointer is given, pointer to head node is not given, can we delete the node X from given linked list?",Possible if X is not last node. Use following two steps (a) Copy the data of next of X to X. (b)Update the pointer of node X to the node after the next node. Delete next of X.,Possible if size of linked list is even.,Possible if size of linked list is odd,Possible if X is not first node. Use following two steps (a) Copy the data of next of X to X. (b) Delete next of X.,A,Following are simple steps.    struct node *temp  = X-&gt;next;    X-&gt;data  = temp-&gt;data;    X-&gt;next  = temp-&gt;next;    free(temp);,Linked List,Hard,High,0.25
34,Which of the following is an application of XOR-linked lists?,Implementing stacks,Implementing queues,Memory-efficient linked list representation,Caching data structures,C,"XOR linked lists are a memory-efficient representation of linked lists. They store the XOR combination of the addresses of the previous and next nodes, reducing the memory overhead compared to traditional linked lists.",Linked List,Medium,Medium,0.25
35,"Consider the following function to traverse a linked list.&nbsp;
        C++
        
        // C++ version of traverse function
void traverse(Node *head) {
    while (head != NULL) {
        printf(&quot;%d  &quot;, head-&gt;data);
        head = head-&gt;next;
    }
}

        
    
        C
        
        void traverse(struct Node *head)
{
   while (head-&gt;next != NULL)
   {
       printf(&quot;%d  &quot;, head-&gt;data);
       head = head-&gt;next;
   }
}

        
    
        Java
        
        // Java version of traverse function
void traverse(Node head) {
    while (head != null) {
        System.out.print(head.data + &quot;  &quot;);
        head = head.next;
    }
}

        
    
        Python
        
        # Python 3 version of traverse function
def traverse(head):
    while head is not None:
        print(head.data, end=&#39;  &#39;)
        head = head.next

        
    
        JavaScript
        
        // JavaScript version of traverse function
function traverse(head) {
    while (head !== null) {
        console.log(head.data + &#39;  &#39;);
        head = head.next;
    }
}

        
    Which of the following is FALSE about above function?",The function may crash when the linked list is empty,The function doesn't print the last node when the linked list is not empty,The function is implemented incorrectly because it changes head,None of the above,C,"This statement is false because it is common for a function that traverses a linked list to change the head pointer, in order to move through the list. In the given function, the head pointer is initially passed in as a parameter, and then it is updated to point to the next node in the list during each iteration of the while loop. This is a standard approach to traversing a linked list.",Linked List,Easy,Low,0.25
36,"N items are stored in a sorted doubly linked list. For a delete operation, a pointer is provided to the record to be deleted. For a decrease-key operation, a pointer is provided to the record on which the operation is to be performed. An algorithm performs the following operations on the list in this order: Θ(N) delete, O(log N) insert, O(log N) find, and Θ(N) decrease-key What is the time complexity of all these operations put together?",O(Log2N),O(N),O(N Log N),Θ(N2 Log N),C,"The time complexity of all these operations put together is O(N log N).The delete operation takes Θ(N) time because we need to traverse the list to find the record to be deleted.The insert and find operations take O(log N) time each because the list is sorted and we can use binary search to locate the correct position for the new record or to find an existing record.The decrease-key operation takes Θ(N) time because we need to traverse the list to find the record on which the operation is to be performed.Assuming that there are M total operations (M = Θ(N) + O(log N) + O(log N) + Θ(N) = O(N)), the total time complexity of all operations is O(M log N) = O(N log N), because the operations take varying amounts of time but they are all performed on a list of size N.",Linked List,Hard,High,0.25
37,What are the application(s) of linked list?,Implementation of stacks and queues.,Maintaining a directory of names,None of the above,Both a and b,D,Both a and b are the implementations of linked list.,Linked List,Easy,Low,0.25
38,The concatenation of two lists is to be performed in O(1) time. Which of the following implementations of a list should be used?,singly linked list,doubly linked list,circular doubly linked list,array implementation of lists,C,As list concatenation requires traversing at least one list to the end. So singly linked list and doubly linked list requires O(n) time complexity whereas circular doubly linked list required O(1) time.&nbsp;,Linked List,Medium,Medium,0.25
39,"Consider the following piece of 'C' code fragment that removes duplicates from an ordered list of integers.
        C++
        
        #include &lt;stdio.h&gt;

Node *remove_duplicates(Node *head, int *j) {
    Node *t1, *t2;
    *j = 0;
    t1 = head;
    if (t1 != NULL) t2 = t1-&gt;next;
    else return head;
    *j = 1;
    if (t2 == NULL)
        return head;
    while (t2 != NULL) {
        if (t1-&gt;val != t2-&gt;val) { // S1
            (*j)++; t1-&gt;next = t2; t1 = t2; // S2
        }
        t2 = t2-&gt;next;
    }
    t1-&gt;next = NULL;
    return head;
}

        
    
        C
        
        #include &lt;stdio.h&gt;

Node  *remove-duplicates(Node *head, int *j)
{
    Node *t1, *t2;
    *j=0;
    t1 = head;
    if (t1! = NULL) t2 = t1 →next;
    else return head;
    *j = 1;
    if(t2 == NULL)
        return head;
    while t2 != NULL)
    {
        if (t1.val != t2.val) --------------------------→ (S1)
        {
            (*j)++; t1 -&gt; next = t2; t1 = t2: ----------→ (S2)
        }
        t2 = t2 →next;
    }
    t1 →next = NULL;
    return head;
}

        
    
        Java
        
        public Node removeDuplicates(Node head, int[] j) {
    Node t1, t2;
    j[0] = 0;
    t1 = head;
    if (t1 != null) t2 = t1.next;
    else return head;
    j[0] = 1;
    if (t2 == null)
        return head;
    while (t2 != null) {
        if (t1.val != t2.val) { // S1
            j[0]++; t1.next = t2; t1 = t2; // S2
        }
        t2 = t2.next;
    }
    t1.next = null;
    return head;
}

        
    
        Python
        
        def remove_duplicates(head, j):
    t1 = head
    j[0] = 0
    if t1 is not None:
        t2 = t1.next
    else:
        return head
    j[0] = 1
    if t2 is None:
        return head
    while t2 is not None:
        if t1.val != t2.val:  # S1
            j[0] += 1         # S2
            t1.next = t2      # S2
            t1 = t2           # S2
        t2 = t2.next
    t1.next = None
    return head

        
    
        JavaScript
        
        function removeDuplicates(head, j) {
    let t1 = head;
    j[0] = 0;
    if (t1 !== null) t2 = t1.next;
    else return head;
    j[0] = 1;
    if (t2 === null)
        return head;
    while (t2 !== null) {
        if (t1.val !== t2.val) { // S1
            j[0]++; t1.next = t2; t1 = t2; // S2
        }
        t2 = t2.next;
    }
    t1.next = null;
    return head;
}

        
    Assume the list contains n elements (n≥2) in the following questions. a). How many times is the comparison in statement S1 made? b). What is the minimum and the maximum number of times statements marked S2 get executed? c). What is the significance of the value in the integer pointed to by j when the function completes?","(a). n-1 times, since comparison is pairwise for n elements.(b). maximum : n-1 for all distinct elements, minimum: 0 for all same elements.(C). j keeps count of distinct nodes in the list.","(a). n times, since comparison is pairwise for n elements.(b). maximum : n-1 for all distinct elements, minimum: 0 for all same elements.(C). j keeps count of distinct nodes in the list.","(a). n-1 times, since comparison is pairwise for n elements.(b). maximum : n-1 for all distinct elements, minimum: 1 for all same elements.(C). j keeps count of distinct nodes in the list.",None of the above,A,"(a). n-1 times, since comparison is pairwise for n elements.(b). maximum : n-1 for all distinct elements, minimum: 0 for all same elements.(C). j keeps count of distinct nodes in the list.",Linked List,Hard,High,0.25
